Pachnodus velutinus
Pachystyla rufozonata
Pacifastacus nigrescens
Palaeopropithecus ingens
Pantanodon madagascariensis
Panthera tigris ssp. balica
Panthera tigris ssp. sondaica
Panthera tigris ssp. virgata
Panulena perrugosa
Paroreomyza flammea
Partula arguta
Partula atilis
Partula aurantia
Partula auriculata
Partula bilineata
Partula callifera
Partula candida
Partula cedista
Partula citrina
Partula crassilabris
Partula cuneata
Partula cytherea
Partula dolichostoma
Partula dolorosa
Partula eremita
Partula formosa
Partula garretti
Partula imperforata
Partula jackieburchi
Partula labrusca
Partula leptochila
Partula levistriata
Partula lugubris
Partula lutea
Partula navigatoria
Partula planilabrum
Partula producta
Partula protracta
Partula raiatensis
Partula remota
Partula sagitta
Partula salifana
Partula suturalis ssp. suturalis
Partula taeniata ssp. taeniata
Partula turgida
Partula umbilicata
Partulina crassa
Partulina montagui
Pausinystalia brachythyrsum
Pelusios seychellensis
Pennatomys nivalis
Pentagenia robusta
Perameles eremiana
Perdicella fulgurans
Perdicella maniensis
Perdicella zebra
Perdicella zebrina
Peromona erinacea
Peromyscus pembertoni
Pezophaps solitaria
Phalacrocorax perspicillatus
Phelsuma gigas
Pholidoscelis cineraceus
Phrynomedusa fimbriata
Phyllococcus oahuensis
Physella microstriata
Pinguinus impennis
Pipilo naufragus
Pipistrellus murrayi
Placostylus bivaricosus ssp. etheridgei
Placostylus cuniculinsulae
Plagiodontia ipnaeum
Planorbella multivolvis
Platytropius siamensis
Plectostoma sciaphilum
Pleorotus braueri
Plethodon ainsworthi
Pleurobema altum
Pleurobema avellanum
Pleurobema bournianum
Pleurobema flavidulum
Pleurobema hagleri
Pleurobema johannis
Pleurobema murrayense
Pleurobema nucleopsis
Pleurobema perovatum
Pleurobema troschelianum
Pleurobema verum
Pleurodonte desidens
Pluchea glutinosa
Podiceps andinus
Podilymbus gigas
Pogonichthys ciscoides
Pomarea fluxa
Pomarea nukuhivae
Pomarea pomarea
Poodytes rufescens
Porphyrio albus
Porphyrio caerulescens
Porphyrio kukwiedei
Porphyrio mantelli
Porphyrio paepae
Posticobia norfolkensis
Potorous platyops
Pouteria stenophylla
Pradosia argentea
Pradosia glaziovii
Pradosia mutisii
Priapella bonita
Procambarus angustatus
Prolagus sardus
Prosobonia cancellata
Prosobonia ellisi
Prosobonia leucoptera
Prototroctes oxyrhynchus
Psephotellus pulcherrimus
Pseudamnicola barratei
Pseudamnicola desertorum
Pseudamnicola doumeti
Pseudamnicola globulina
Pseudamnicola latasteana
Pseudamnicola oudrefica
Pseudamnicola ragia
Pseudamnicola singularis
Pseudobactricia ridleyi
Pseudocampylaea loweii
Pseudohelenoconcha spurca
Pseudomys auritus
Pseudomys glaucus
Pseudomys gouldii
Pseudophilautus adspersus
Pseudophilautus dimbullae
Pseudophilautus eximius
Pseudophilautus extirpo
Pseudophilautus halyi
Pseudophilautus hypomelas
Pseudophilautus leucorhinus
Pseudophilautus maia
Pseudophilautus malcolmsmithi
Pseudophilautus nanus
Pseudophilautus nasutus
Pseudophilautus oxyrhynchus
Pseudophilautus pardus
Pseudophilautus rugatus
Pseudophilautus stellatus
Pseudophilautus temporalis
Pseudophilautus variabilis
Pseudophilautus zal
Pseudophilautus zimmeri
Pseudophoxinus handlirschi
Psiadia schweinfurthii
Psidium dumetorum
Psittacara labati
Psittacula exsul
Psittacula wardi
Pterodroma rupinarum
Pteropus brunneus
Pteropus pilosus
Pteropus subniger
Pteropus tokudae
Ptilinopus mercierii
Ptychochromis onilahy
Pupilla obliquicosta
Pyrgulopsis nevadensis
Pyrocephalus dubius
Quintalia flosculus
Quintalia stoddartii
Quiscalus palustris
Radula visianica
Raphus cucullatus
Rattus macleari
Rattus nativitatis
Rauvolfia nukuhivensis
Rhachis comorensis
Rhachis sanguineus
Rhantus novacaledoniae
Rhantus orbignyi
Rhantus papuanus
Rheobatrachus silus
Rheobatrachus vitellinus
Rhinichthys deaconi
Rhodacanthis flaviceps
Rhodacanthis palmeri
Rhyacophila amabilis
Rhyncogonus bryani
Romankenkius pedderensis
Romanogobio antipai
Rucervus schomburgki
Ryania speciosa var. mutisii
Salmo pallaryi
Salvelinus agassizii
Salvelinus neocomensis
Salvelinus profundus
Samoana inflata
Sanicula kauaiensis
Santalum fernandezianum
Sceloglaux albifacies
Scelotes guentheri
Schiedea amplexicaulis
Scotorythra megalophylla
Scotorythra nesiotes
Shorea cuspidata
Sicyos villosus
Siettitia balsetensis
Sinployea canalis
Sinployea decorticata
Sinployea harveyensis
Sinployea otareae
Sinployea planospira
Sinployea proxima
Sinployea rudis
Sinployea tenuicostata
Sinployea youngi
Sitalcicus gardineri
Solenodon marcanoi
Somatogyrus alcoviensis
Somatogyrus amnicoloides
Somatogyrus crassilabris
Somatogyrus wheeleri
Spirobolellus praslinus
Sporobolus durus
Stachytarpheta fallax
Stagnicola pilsbryi
Stellaria elatinoides
Stenocarpus dumbeensis
Sterculia khasiana
Stipax triangulifer
Stonemyia volutina
Streblorrhiza speciosa
Stygobromus lucifugus
Stypodon signifer
Sus bucculentus
Syncaris pasadenae
Tachybaptus rufolavatus
Tachygyia microlepis
Taipidon anceyana
Taipidon marquesana
Taipidon octolamellata
Taudactylus diurnus
Telestes ukliva
Tetradactylus eastwoodae
Tetramolopium consanguineum subsp. consanguineum
Thaumatodon multilamellata
Thomasettia seychellana
Threskiornis solitarius
Thylacinus cynocephalus
Tischeria perplexa
Tokea orthostichon
Tomigerus gibberulus
Tomigerus turbinatus
Tornelasmias capricorni
Traversia lyalli
Triaenodes phalacris
Triaenodes tridontus
Tribonyx hodgenorum
Trigonoscuta rossi
Trigonoscuta yorbalindae
Trilepidea adamsii
Tristramella intermedia
Tristramella magdelainae
Tristramella sacra
Tritocleis microphylla
Trochetiopsis melanoxylon
Trochoidea picardi
Tropidophora desmazuresi
Tropidophora semilineata
Tropodiaptomus ctenopus
Turdus ravidus
Turnagra capensis
Turnagra tanagra
Typhlops cariei
Unio cariei
Unio madagascariensis
Unio malgachensis
Upupa antaios
Valerianella affinis
Vanvoorstia bennettiana
Vernonia sechellensis
Viola cryana
Viridonia sagittirostris
Vitrea storchi
Vitrinula chaunax
Vitrinula chichijimana
Vitrinula hahajimana
Weinmannia spiraeoides
Wendlandia angustifolia
Wikstroemia hanalei
Xanthostemon sebertii
Xenicus longipes
Xenothrix mcgregori
Zalophus japonicus
Zapornia astrictocarpus
Zapornia monasa
Zapornia nigra
Zapornia palmeri
Zapornia sandwichensis
Zonites santoriniensis
Zonites siphnicus
Zoothera terrestris
Zosterops conspicillatus
Zosterops semiflavus
Zosterops strenuus
