Thylacinus cynocephalus
Tischeria perplexa
Tokea orthostichon
Tomigerus gibberulus
Tomigerus turbinatus
Tornelasmias capricorni
Traversia lyalli
Triaenodes phalacris
Triaenodes tridontus
Tribonyx hodgenorum
Trigonoscuta rossi
Trigonoscuta yorbalindae
Trilepidea adamsii
Tristramella intermedia
Tristramella magdelainae
Tristramella sacra
Tritocleis microphylla
Trochetiopsis melanoxylon
Trochoidea picardi
Tropidophora desmazuresi
Tropidophora semilineata
Tropodiaptomus ctenopus
Turdus ravidus
Turnagra capensis
Turnagra tanagra
Typhlops cariei
Unio cariei
Unio madagascariensis
Unio malgachensis
Upupa antaios
Valerianella affinis
Vanvoorstia bennettiana
Vernonia sechellensis
Viola cryana
Viridonia sagittirostris
Vitrea storchi
Vitrinula chaunax
Vitrinula chichijimana
Vitrinula hahajimana
Weinmannia spiraeoides
Wendlandia angustifolia
Wikstroemia hanalei
Xanthostemon sebertii
Xenicus longipes
Xenothrix mcgregori
Zalophus japonicus
Zapornia astrictocarpus
Zapornia monasa
Zapornia nigra
Zapornia palmeri
Zapornia sandwichensis
Zonites santoriniensis
Zonites siphnicus
Zoothera terrestris
Zosterops conspicillatus
Zosterops semiflavus
Zosterops strenuus
Abies beshanzuensis
Abies delavayi subsp. fansipanensis
Abies nebrodensis
Abies numidica
Abies yuanbaoshanensis
Abrocoma boliviensis
Abronia campbelli
Abronia frosti
Abutilon eremitopetalum
Abutilon menziesii
Abutilon sandwicense
Acacia belairioides
Acacia pseudonigrescens
Acacia roigii
Acalypha ecuadorica
Acalypha eggersii
Acalypha raivavensis
Acanthobrama centisquama
Acanthobrama hadiyahensis
Acanthobrama tricolor
Acanthodactylus beershebensis
Acanthodactylus harranensis
Acanthodactylus mechriguensis
Acanthodactylus spinicauda
Acanthophoenix rubra
Acanthothecis leucoxanthoides
Acanthothecis paucispora
Acanthothericles bicoloripes
Acer binzayedii
Acer buergerianum formosanum
Acer leipoense
Acer oblongum membranaceum
Acer skutchii
Acer undulatum
Achalinus jinggangensis
Acharagma aguirreanum
Achatinella apexfulva
Achatinella bellula
Achatinella bulimoides
Achatinella byronii
Achatinella cestus
Achatinella concavospira
Achatinella curta
Achatinella decipiens
Achatinella fulgens
Achatinella fuscobasis
Achatinella leucorrhaphe
Achatinella lila
Achatinella lorata
Achatinella mustelina
Achatinella phaeozona
Achatinella pulcherrima
Achatinella pupukanioe
Achatinella sowerbyana
Achatinella stewartii
Achatinella swiftii
Achatinella taeniolata
Achatinella turgida
Achatinella viridans
Achatinella vulpina
Acheilognathus elongatus
Achyranthes mutica
Achyranthes splendens rotundata
Achyrocline glandulosa
Achyrocline mollis
Acilacris furcatus
Acilacris kristinae
Acinonyx jubatus hecki
Acinonyx jubatus venaticus
Acipenser dabryanus
Acipenser gueldenstaedtii
Acipenser mikadoi
Acipenser naccarii
Acipenser nudiventris
Acipenser persicus
Acipenser schrenckii
Acipenser sinensis
Acipenser stellatus
Acipenser sturio
Acipenser transmontanus Fraser River Nechako subpopulation
Acizzia veski
Acmopyle sahniana
Aconitum chasmanthum
Acostaea rivolii
Acridotheres melanopterus
Acridotheres tertius
Acridotheres tricolor
Acritodon nephophilus
Acrocephalus familiaris
Acrocephalus hiwae
Acrocephalus longirostris
Acrocephalus rimitarae
Acroloxus macedonicus
Acropogon tireliae
Acropora cervicornis
Acropora palmata
Acrostira bellamyi
Acrostira euphorbiae
Acroteriobatus variegatus
Actinella arridens
Actinella obserata
Actinodaphne cuspidata
Actinodaphne lanata
Addax nasomaculatus
Adelobotrys panamensis
Adenomus dasi
Adenomus kandianus
Adenophorus periens
Adetomyrma venatrix
Adrianichthys kruyti
Aechmea cymosopaniculata
Aechmea downsiana
Aegiphila caymanensis
Aegiphila glomerata
Aegotheles savesi
Aerangis megaphylla
Aeranthes albidiflora
Aeranthes leandriana
Aeranthes multinodis
Aerotegmina megaloptera
Aeschynomene ruspoliana
Aetheolaena hypoleuca
Aetheolaena ledifolia
Aetheolaena pichinchensis
Aethionema grandiflorum sintenisii
Aethionema retsina
Afghanodon mustersi
Africallagma cuneistigma
Afrogarypus seychellesensis
Afrothismia amietii
Afrothismia baerae
Afrothismia foertheriana
Afrothismia gesnerioides
Afrothismia korupensis
Afrothismia pachyantha
Afrothismia winkleri
Agalinis kingsii
Agalychnis lemur
Agasthiyamalaia pauciflora
Agathis montana
Agdistis marionae
Agelanthus rondensis
Agkistropleuron simplex
Aglaia densitricha
Aglaia evansensis
Aglaia gracilis
Aglaia heterotricha
Aglaia mackiana
Aglaia malabarica
Aglaia pleuropteris
Aglaia unifolia
Aglaothorax longipennis
Agrostis barceloi
Agrostistachys hookeri
Aichryson dumosum
Ailurops melanotis
Aiphanes argos
Aipysurus apraefrontalis
Aipysurus foliosquama
Akihito futuna
Alasmidonta raveneliana
Alauda razae
Albinaria mavromoustakisi
Albinaria rechingeri
Albinaria retusa
Albizia vaughanii
Albuca nana
Alburnus macedonicus
Alburnus mandrensis
Alburnus nasreddini
Alburnus timarensis
Alburnus vistonicus
Alcedo euryzona
Alcelaphus buselaphus tora
Alchemilla fischeri subsp. camerunensis
Alectryon macrococcus
Alectryon macrococcus auwahiensis
Alectryon macrococcus macrococcus
Aleochara freyi
Alexteroon jynx
Alinea lanceolata
Alistilus magnificus
Allaga ambigua
Alligator sinensis
Allium akirense
Allium baytopiorum
Allium corsicum
Allium czelghauricum
Allium iatrouinum
Allium marathasicum
Allobates juanii
Allochrusa takhtajanii
Allocnemis maccleeryi
Allophylus hispidus
Allotoca diazi
Allotoca maculata
Alluviobolus laticlavius
Alnus djavanshirii
Alnus dolichocarpa
Alnus henryi
Alocasia atropurpurea
Alocasia sanderiana
Alocasia sinuata
Aloe beankaensis
Aloe boscawenii
Aloe brunneostriata
Aloe classenii
Aloe dorotheae
Aloe flexilifolia
Aloe ghibensis
Aloe jucunda
Aloe leptosiphon
Aloe molederana
Aloe pembana
Aloe pillansii
Alopecoenas erythropterus
Alosa killarnensis
Alosa vistonica
Alouatta guariba guariba
Alouatta palliata mexicana
Alouatta palliata trabeata
Alphonsea kingii
Alpinia diversifolia
Alsinidendron lychnoides
Alsinidendron obovatum
Alsinidendron trinerve
Alsinidendron viscosum
Alsodes cantillanensis
Alsodes pehuenche
Alsodes vanzolinii
Alsophis antiguae
Alsophis antillensis
Alsophylax laevis
Alsophylax tadjikiensis
Altiphrynoides osgoodi
Alycaeus balingensis
Alzoniella galaica
